,Total extra views,Average distance,Max distance
http://ocw.tudelft.nl,2872.0,2.8719999999999537,17.0
https://tresor.tudelft.nl,2850.0,2.8499999999999575,11.0
https://ocw.tudelft.nl,2737.0,2.7369999999999526,17.0
https://ocw.tudelft.nl/courses/introduction-seismic-essentials-groningen/,2712.0,2.711999999999952,18.0
https://www.tudelft.nl/en/research/faculties-and-disciplines/,2615.0,2.614999999999967,8.0
https://ocw.tudelft.nl/courses/introductiecursus-technische-bestuurskunde/,2586.0,2.5859999999999537,14.0
https://tresor.tudelft.nl/kaart/,2580.0,2.5799999999999574,11.0
https://www.tudelft.nl/studenten/faculteiten/io/onderwijs/afstuderen-master/graduation-opportunities/,2521.0,2.52099999999997,7.0
https://www.tudelft.nl/studenten/faculteiten/io/praktische-zaken/aanmelden-voor-vakken-osiris/keuzevakken-in-de-bachelor/,2516.0,2.515999999999966,7.0
https://www.tudelft.nl/studenten/faculteiten/io/praktische-zaken/aanmelden-voor-vakken-osiris/msc-electives/,2516.0,2.5159999999999694,6.0
https://collegeramacolleges.tudelft.nl/new/,2511.0,2.510999999999968,7.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/research/phd/,2508.0,2.5079999999999685,5.0
https://bis.bk.tudelft.nl/myenrolments/student,2506.0,2.5059999999999607,6.0
https://www.tudelft.nl/index.php?id=38824,2505.0,2.5049999999999666,5.0
https://www.tudelft.nl/studenten/faculteiten/io/praktische-zaken/aanmelden-voor-vakken-osiris/msc-electives/elective-space-opportunities/,2487.0,2.4869999999999672,6.0
https://www.tudelft.nl/en/ceg/about-faculty/departments/geoscience-engineering/sections/geo-engineering/staff/,2437.0,2.4369999999999687,5.0
https://www.tudelft.nl/studenten/ict/student-it-desk/,2425.0,2.4249999999999634,7.0
https://ocw.tudelft.nl/courses/self-study-english-dutch-students/,2424.0,2.423999999999954,16.0
https://iamap.tudelft.nl/en/accessibility-and-parking/,2423.0,2.4229999999999614,10.0
https://collegeramacolleges.tudelft.nl/new/faculty/eemcs/,2411.0,2.4109999999999614,12.0
http://rail.tudelft.nl,2404.0,2.403999999999968,7.0
http://www.sid.tudelft.nl,2380.0,2.3799999999999684,6.0
https://www.tudelft.nl/over-tu-delft/contact-en-bereikbaarheid/plattegrond-en-gebouwen/,2360.0,2.359999999999957,16.0
https://www.tudelft.nl/lr/studeren/master-aerospace-engineering/limited-capacity-space-flight/,2347.0,2.3469999999999662,5.0
https://sportsandculture.tudelft.nl/en/home,2346.0,2.345999999999967,10.0
https://ocw.tudelft.nl/programs/bachelor/,2334.0,2.3339999999999756,10.0
https://www.tudelft.nl/en/3me/about/departments/materials-science-and-engineering/research/corrosion-technology-and-electrochemistry/people/,2305.0,2.3049999999999704,4.0
http://www.bme.msc.tudelft.nl,2302.0,2.301999999999968,11.0
https://www.tudelft.nl/ai/about-us-contact/,2284.0,2.2839999999999736,5.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/bme/msc-biomedical-engineering/,2281.0,2.280999999999971,15.0
https://www.tudelft.nl/en/ceg/about-faculty/departments/engineering-structures/sections-labs/railway-engineering/,2273.0,2.27299999999997,7.0
https://www.tudelft.nl/en/3me/about/departments/materials-science-and-engineering/people/scientific-staff/,2272.0,2.271999999999973,4.0
https://www.tudelft.nl/tbm/onderwijs/online-education/massive-open-online-course/,2255.0,2.254999999999981,6.0
https://www.tudelft.nl/en/eemcs/the-faculty/departments/electrical-sustainable-energy/intelligent-electrical-power-grids-iepg-group/staff/,2251.0,2.2509999999999715,5.0
https://www.tudelft.nl/library/collecties/,2229.0,2.228999999999975,14.0
https://www.tudelft.nl/en/student/faculties/ide/education/msc-graduation/downloads/,2220.0,2.219999999999958,5.0
https://online-learning.tudelft.nl/programs/pv-modeling-simulation-and-analysis/,2213.0,2.2129999999999725,6.0
https://www.tudelft.nl/en/x/,2210.0,2.2099999999999733,11.0
http://geomatics.tudelft.nl,2206.0,2.205999999999966,6.0
https://adhok.bk.tudelft.nl,2206.0,2.20599999999997,3.0
https://iamap.tudelft.nl/bereikbaarheid/,2201.0,2.2009999999999557,13.0
https://www.tudelft.nl/en/student/faculties/as-student-portal/education/graduation/bachelors-graduation-procedure/,2197.0,2.1969999999999765,13.0
https://www.tudelft.nl/en/student/faculties/as-student-portal/education/graduation/bachelors-graduation-procedure/exam-dates-bsc/,2190.0,2.1899999999999764,9.0
https://brightspace-support.tudelft.nl/remote-teaching-learning/,2185.0,2.1849999999999756,7.0
https://online-learning.tudelft.nl/courses/photovoltaic-systems-modeling/,2182.0,2.1819999999999675,7.0
https://www.tudelft.nl/index.php?id=6809,2170.0,2.169999999999965,5.0
http://staff.tudelft.nl/en/J.L.RuedaTorres/,2157.0,2.1569999999999716,4.0
https://www.tudelft.nl,2150.0,2.149999999999984,5.0
